	Question	Anatomy	Cause	Complication	Diagnosis	Information	Management	Manifestation	OtherEffect	PersonOrg	Prognosis	Susceptibility	Other	NotDisease
0	How can I cure my nail of anonychia congenita and get a fresh, good nail?	0	0	0	0	0	1	0	0	0	0	0	0	0
1	How can I find a physician with expertise in ALPS to see my adult son?	0	0	0	0	0	0	0	0	1	0	0	0	0
2	How can I find information on treatment for polyarteritis nodosa? Are there any dietary supplements or other alternative therapies that have been used to treat polyarteritis nodosa?	0	0	0	0	0	1	0	0	0	0	0	0	0
3	How can I find other families with children with Blount disease?	0	0	0	0	0	0	0	0	1	0	0	0	0
4	How can I find out more about the status of research on inflammatory myfibroblastic tumor?	0	0	0	0	1	0	0	0	0	0	0	0	0
5	How can I find research or treatment studies on trichotillomania? Our teenage daughter has suffered from the condition for many years and we have not found an effective treatment.	0	0	0	0	1	1	0	0	0	0	0	0	0
6	How can I learn about research involving myotonia congenita? Is gene therapy available for myotonia congenita?	0	0	0	0	1	1	0	0	0	0	0	0	0
7	How can I learn about research involving primary ciliary dyskinesia and Kartagener syndrome?	0	0	0	0	1	0	0	0	0	0	0	0	0
8	How can I learn about research opportunities at the National Institutes of Health (NIH) that are enrolling children with Proteus syndrome?	0	0	0	0	0	0	0	0	1	0	0	0	0
9	How can I learn more about learning disabilities in women and girls with Turner syndrome?	0	0	0	0	1	0	0	0	0	0	0	0	0
10	How can I learn more about the pull-through operation for Hirschsprung disease? I am considering this procedure for my son.	0	0	0	0	0	1	0	0	0	0	0	0	0
11	How can I meet other families with children with Russell-Silver syndrome? My granddaughter was recently diagnosed with this condition. I want to know how I can best support and help her as she grows.	0	0	0	0	0	0	0	0	1	0	0	0	0
12	How can I obtain information about treatment options for familial idiopathic basal ganglia calcification (FIBGC)? Is there any research being done to find a treatment or cure for this condition?	0	0	0	0	0	1	0	0	0	0	0	0	0
13	How can I treat fibromyalgia? How can I reduce the pain associated with this condition?	0	0	0	0	0	1	0	0	0	0	0	0	0
14	How can one anticipate the progression of their disorder, as in how bad their condition is? How does one know what type of retinitis pigmentosa they have if their condition is inherited, developed in childhood, and their parents don't have it?	0	0	0	0	1	0	0	0	0	1	0	0	0
15	How can you detect Freeman Sheldon syndrome?	0	0	0	1	0	0	0	0	0	0	0	0	0
16	How common is congenital anosmia?  Is there a cure or any treatment?	0	0	0	0	0	1	0	0	0	0	1	0	0
17	How common is corpus callosum agenesis? How many people in the United States have this diagnosis? What is the average lifespan for people with this diagnosis?	0	0	0	0	0	0	0	0	0	1	1	0	0
18	How common is Kohler disease? I keep reading that it is rare but can't find stats on just how rare it is.	0	0	0	0	0	0	0	0	0	0	1	0	0
19	How common is lactate dehydrogenase A deficiency and how might this condition be managed (for instance, should complex carbohydrates be avoided)?	0	0	0	0	0	1	0	0	0	0	1	0	0
20	How common is Sertoli cell-only syndrome? Are there any studies regarding this condition? I was diagnosed recently and I can't find much information about it.	0	0	0	0	1	0	0	0	0	0	1	0	0
21	How common is spitz nevi in children near 7 years-old?	0	0	0	0	0	0	0	0	0	0	1	0	0
22	How common or rare is this condition? Can it be linked to prematurity as a cause?	0	0	0	0	0	0	0	1	0	0	1	0	0
23	How did Knobloch syndrome get its name? Is severe myopia one of the main symptoms?	0	0	0	0	0	0	1	0	0	0	0	1	0
24	How do doctors test for erythromelalgia? I have flare ups on my hands, feet, and face.	0	0	0	1	0	0	0	0	0	0	0	0	0
25	How does androgen insensitivity syndrome affect gender identity?	0	0	0	0	0	0	0	1	0	0	0	0	0
26	How does a person contract FUMHD? How is a person tested for FUMHD? If it is genetic, can other children of the same parents be tested for it? How can doctors ensure they have not wrongly diagnosed someone that has FUMHD (in my loved one FUMHD was confused with chicken pox)? At what point does the disease stop being PLEVA and become FUMHD? What are the signs and symptoms that someone has FUMHD? How do doctors determine whether or not the treatments being administered for FUMD are working? At what point should Methotrexate be used to treat FUMHD? When should MRI's and X-rays be used to look for disease affecting the interior?	0	0	0	1	0	1	1	0	0	0	1	1	0
27	How does cardiofaciocutaneous syndrome affect an individual's livelihood?	0	0	0	0	0	0	0	0	0	1	0	0	0
28	How does diet affect lichen sclerosus?  Are there certain foods that should be avoided?	0	0	0	0	0	1	0	0	0	0	0	0	0
29	How does Klippel Trenaunay syndrome (KTS) occur? How, if it is not inherited, does it come about? Which gene is associated with it?	0	1	0	0	0	0	0	0	0	0	1	0	0
30	How does one get tested for pityriasis lichenoides chronica?	0	0	0	1	0	0	0	0	0	0	0	0	0
31	How does Sturge-Weber syndrome affect adults? I'm a 43-year-old person who has this disorder and had my birthmark removed at age 4.	0	0	0	0	0	0	0	1	0	0	0	0	0
32	How does this syndrome begin in a lineage? Is the TP53 gene mutation a sudden and spontaneous mutation at conception? Does it have environmental causes? Is it a gradual generational erosion of gene integrity finally resulting in the full mutation that causes this syndrome? Are some TP53 genes mutated worse than others? We are trying to trace this through our family tree.	0	1	0	0	0	0	0	0	0	0	1	0	1
33	How do I get rid of MYH 9 related thrombocytopenia?	0	0	0	0	0	1	0	0	0	0	0	0	0
34	How do people inherit pseudoachondroplasia?	0	0	0	0	0	0	0	0	0	0	1	0	0
35	How is amyloidosis diagnosed in those with familial Mediterranean fever? How is the effectiveness of colchicine monitored?	0	0	0	1	0	1	0	0	0	0	0	0	0
36	How is diabetic mastopathy diagnosed and treated?	0	0	0	1	0	1	0	0	0	0	0	0	0
37	How is fibrosing mediastinitis treated? How can I learn more about research?	0	0	0	0	1	1	0	0	0	0	0	0	0
38	How is Fox-Fordyce disease treated? Are there over-the-counter drugs that will help? What can I do for maintanence?	0	0	0	0	0	1	0	0	0	0	0	0	0
