	id	qid1	qid2	question1	question2	is_duplicate
0	2848	2848	2848	What is the antibiotic of choice for an elderly patient in the nursing home with pneumonia?	What is the antibiotic of choice for an elderly patient in the nursing home with pneumonia?	1
1	3486	3486	3486	Are either Entamoeba hartmanni or Blastocystis hominis pathogenic in a patient with diarrhea?	What is the dose of Sporanox?	0
2	1206	1206	1206	Her hip x-ray showed Paget's disease.  What should I do with her Paget's disease?  I've never had a patient with Paget's disease before.	Hip x-ray Paget's disease. What should I do with her Paget's disease?	1
3	3577	3577	3577	Should we use captopril in Type 2 diabetics with microalbuminuria as well as Type 1 diabetics?	Should we use captopril in Type 2 diabetics with microalbuminuria?	1
4	463	463	463	What is the dosage of Lodine?	What is the dosage of Lodine?	1
5	5090	5090	5090	Is there any information on the use of Celebrex (celecoxib) in migraine?	Is there any information on the use of celecoxib in migraine?	1
6	2208	2208	2208	Why is Opticrom still off the market?	How should I treat polymenorrhea in a 14-year-old girl?	0
7	6130	6130	6130	"74-year-old man with dyspnea.  Remote smoker.  ""I'm just wondering if there's anything else that could be causing it and if there's any treatment."""	What is causing the dyspnea?	1
8	3846	3846	3846	Is it normal to have inverted T waves in Lead 3?	Is it normal to have inverted T waves in Lead 3?	1
9	5941	5941	5941	What's the workup for a 26-year-old woman with weight loss?	Nurse asked doctor about dose of Valtrex when noting visit on chart. He looked it up.	0
10	926	926	926	The Papanicolaou smear shows reactive cellular changes that include repair.  Can't I get a Papanicolaou smear that says negative or no atypical cells?  Do I need to do anything about this?	Papanicolaou smear has reactive cellular changes, including repair. Do I need to do anything about this?	1
11	4949	4949	4949	What are the Agency for Healthcare Policy and Research (ACHPR) guidelines for getting plain x-rays in patients with low back pain?	Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?	0
12	2151	2151	2151	If you stop smoking does your cough get worse?	If you stop smoking does your cough get worse?	1
13	3802	3802	3802	What are the Ottawa ankle rules for taking x-rays of injured ankles?	What are the Ottawa ankle rules for taking x-rays of injured ankles?	1
14	2632	2632	2632	What are the mnemonics to help remember what to ask about in depression?	Patient with hypertension and abdominal bruit.  Should I order an intravenous pyelogram?	0
15	3261	3261	3261	What are the criteria for a normal (reactive) nonstress test (NST)?	What are the criteria for a reactive nonstress test?	1
16	1403	1403	1403	This nursing home patient has hyponatremia.  The Washington Manual is no help.  Need to be off diuretics to use their algorithm, but what if they need the diuretic?  Do you put up with a sodium of 128 if they are on a diuretic and they need the diuretic? 	Hyponatremia. Washington Manual no help because must be off diuretic to use algorithm.	1
17	3654	3654	3654	Will trimethoprim/sulfamethoxazole work for Group A beta hemolytic streptococcal sore throat?	Patient not getting better from epicondylitis after physical therapy and nonsteroidal anti-inflammatory drugs; what to do?	0
18	7382	7382	7382	Is the coccyx fractured?  This was the question as the physician was looking at the x-ray of a young girl (about 7 years old).	Is the coccyx fractured?	1
19	2075	2075	2075	"What is the ""dawn"" phenomenon and how do you know if someone has it?"	Age 4 years, has had 2 bladder infections, just treat or workup for cause?	0
20	1781	1781	1781	Is it okay to use cervical traction in this woman with headaches and cervical arthritis and minimal instability on cervical spine films?	Okay to use cervical traction, patient with headaches, cervical arthritis, minimal instability on x-ray?	1
21	1778	1778	1778	Woman fractured her humerus. Has a history of desmoid tumors. What are desmoid tumors?	Let's give these immunizations.  That's right isn't it?	0
22	8133	8133	8133	How do I do a Ballard scoring exam on a newborn?	How do I do a Ballard scoring exam on a newborn?	1
23	8424	8424	8424	Blood gas values are back. Should we change the ventilator settings?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	0
24	2669	2669	2669	Are subtle late decelerations just as bad as deep late decelerations?	Is melatonin good for anything?  What is the dose?	0
25	238	238	238	Woman with polycythemia vera, feels well except for itching, tearing herself apart.  The itching is part of her disease but how do you treat it?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	0
26	3333	3333	3333	What blood sugars should you try to achieve when treating a gestational diabetic?	What blood sugars should you achieve when treating a gestational diabetic?	1
27	1488	1488	1488	How do you help an overweight patient with degenerative joint disease to lose weight so his degenerative joint disease will get better?	Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it.	0
28	3971	3971	3971	What are the different drug possibilities for treatment of depression?	What are the different drugs for treatment of depression?	1
29	5408	5408	5408	Can Group B streptococcus cause urinary tract infections in adults?	Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)	0
30	6490	6490	6490	A young guy in his late 30's had tinnitus and headaches.  I did a computerized tomography scan and it showed a suprasellar mass pushing on the optic chiasm.  I had to look up where the auditory nerve was in relation to the mass.	Let's give these immunizations.  That's right isn't it?	0
31	7723	7723	7723	What are the fetal effects of maternal von Willebrand disease?	Let's give these immunizations.  That's right isn't it?	0
32	1457	1457	1457	What do you do with an angiotensin-converting-enzyme-inhibitor-induced cough?	What do you do with an angiotensin-converting-enzyme-inhibitor-induced cough?	1
33	2453	2453	2453	What was the reference to that article that found that doing a rectal exam does not affect the prostate specific antigen?	What was the article that found that doing a rectal exam does not affect the prostate specific antigen?	1
34	5180	5180	5180	How do you do a weighted average of Poisson data?	Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?	0
35	250	250	250	Is an upset stomach a side effect of Glucotrol?  Dr. X said she hadn't seen that before.	How should I treat polymenorrhea in a 14-year-old girl?	0
36	935	935	935	How meaningful are these fluctuations in cholesterol/triglycerides in this patient on Zocor (triglycerides approximately 170 increased to approximately 250 on the same dose of Zocor).  How often do I have to follow the cholesterol?	Let's give these immunizations.  That's right isn't it?	0
37	3844	3844	3844	Are there any new treatments for COPD (chronic obstructive pulmonary disease) exacerbation?  What is the role of theophylline?  Pulmocare?	Are there any new treatments for chronic obstructive pulmonary disease exacerbation?	1
38	4295	4295	4295	How do you work up an adult for chronic diarrhea?	What are the best exercises for rotator cuff?	0
39	7556	7556	7556	What I'm looking up is if there is any association between iron overload and HIV (human-immunodeficiency virus).	Is there any association between iron and human immunodeficiency virus?	1
40	8073	8073	8073	What is the differential diagnosis for lymphocytosis in a new liver transplant patient?	How should I treat polymenorrhea in a 14-year-old girl?	0
41	2530	2530	2530	What are the criteria for Briquet's syndrome?	What are the criteria for Briquet's syndrome?	1
42	2986	2986	2986	How do you remove endocervical polyps?  What to do if there is bleeding?	How do you remove endocervical polyps?	1
43	5287	5287	5287	What is Proshield?	What is Proshield?	1
44	8116	8116	8116	What are the adult doses of antibiotics?	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	0
45	4918	4918	4918	What does paraneoplastic syndrome mean and what does it do?	What does paraneoplastic syndrome mean and what does it do?	1
46	1151	1151	1151	How in depth do you go with a sports physical and lab work?  I did not get a urinalysis.  I heard at a meeting that only 1% of urinalyses on sports physicals show anything.	How to convince someone they are depressed when they don't want to accept it?	0
47	6443	6443	6443	61-year-old woman.  What is the best approach for elbow epicondylitis in terms of treatment -- steroid shot first or nonsteroidal anti-inflammatories first?	What is the treatment for epicondylitis in the elbow?	1
48	2514	2514	2514	What is the differential diagnosis of folliculitis?	Patient reluctant to take medication. How to control hypertension and still get her cooperation?	0
49	7022	7022	7022	Does every person with bad esophagitis need endoscopy, looking for Barrett's?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	0
50	2657	2657	2657	What was the reference to the New England Journal of Medicine article on intubating newly deceased patients?	What was the reference to the New England Journal of Medicine article on intubating newly deceased patients?	1
51	2617	2617	2617	How good is the triple screen at predicting Down syndrome?	How good is the triple screen at predicting Down syndrome?	1
52	7817	7817	7817	This patient with a gastrostomy tube is bleeding in the mouth.  How should we treat this?	This patient with a gastrostomy tube is bleeding in the mouth.  How should we treat this?	1
53	1610	1610	1610	Is it really Benadryl that's in Tylenol PM?  I just didn't want her taking that with all her muscle relaxants.	Is it really Benadryl that's in Tylenol PM?	1
54	1490	1490	1490	Regarding Phalen's test and Tinel's tests for carpal tunnel syndrome, Dr. X doesn't see these as useful and wonders if anyone knows the sensitivity of these tests.	Patient complains that normal sounds sound too loud.  What should I do about that?	0
55	7705	7705	7705	How do I manage respiratory distress in this cardiac patient?	How do I manage respiratory distress in this cardiac patient?	1
56	3425	3425	3425	What is the next step in the workup of a patient with a high free T4 (free thyroxine) and a low thyroid stimulating hormone (TSH)?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	0
57	7438	7438	7438	"""Care of metacarpal fractures.""  Relates to a patient seen within the last month."	What is the cause of this woman's long term head shaking (tremor)?	0
58	1291	1291	1291	I'm looking up Prevacid to see how long you can use it.  It's like Prilosec which you can't use forever.	I'm looking up Prevacid to see how long you can use it.	1
59	5224	5224	5224	In patients with gastroesophageal reflux disease (GERD), should you check a Helicobacter pylori titer (and treat if positive)?	In patients with gastroesophageal reflux disease, should you check a Helicobacter pylori titer?	1
60	620	620	620	I normally give amoxicillin for tonsillitis.  Mother said it didn't work last time.  How far should I push it (the amoxicillin that I wanted to use)?	How far should I push it? (The amoxicillin that I want to use.)	1
61	7730	7730	7730	How do we treat rhabdomyolysis?	How should I treat polymenorrhea in a 14-year-old girl?	0
62	1137	1137	1137	Cephalexin did not work on his bronchitis.  What antibiotic should I use now?	Is there a better way to introduce the subject of sexually transmitted disease?	0
63	625	625	625	How to stop somebody when she comes in with five problems, but her appointment time is only long enough for one?	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	0
64	3736	3736	3736	Who would be a candidate for Glucophage (metformin)?  Do the risks of lactic acidosis outweigh the benefits for most people?	Who would be a candidate for metformin?	1
65	6189	6189	6189	"22-year-old man on Ritalin for attention-deficit-hyperactivity disorder.  After he takes his dose, he craves cigarettes.  I (investigator) said, ""I've never heard of that.""  She (physician) said, ""I haven't either."""	What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)	0
66	2820	2820	2820	Why is it helpful to know both the percent and absolute CD4 (cluster of differentiation 4) count in an HIV (human immunodeficiency virus) patient?	How should I treat polymenorrhea in a 14-year-old girl?	0
67	3024	3024	3024	What are the relative potencies (equivalent doses) of various estrogens in hormone replacement therapy versus oral contraceptives versus endogenous production?  What is the estrogen that is normally in the blood?	Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it.	0
68	7307	7307	7307	"We get these young girls with periods every two weeks for a year.  ""When do you get concerned?  When do you regulate them?  When do you refer?"""	What is the approach to irregular bleeding in adolescents?	1
69	480	480	480	Should I put all diabetics on angiotensin converting enzyme (ACE) inhibitors to protect their kidneys, even if they don't have hypertension?	Should I put all diabetics on angiotensin converting enzyme inhibitors to protect the kidneys, even if no hypertension?	1
70	2806	2806	2806	Does Claritin (loratadine) cause prolongation of the Q-T interval?  Is it contraindicated with fluconazole or erythromycin?	Why did she get Coccidiomycosis?	0
71	5959	5959	5959	"55-year-old woman has had breast cancer.  Her question to me was, ""What can I do to make sure I don't get ovarian cancer?""  ""So screening.""  I think there might be a risk of ovarian cancer in a woman with breast cancer.  I'm not sure.  Is there a role for ultrasound or CA 125 (cancer antigen 125) in this situation?"	What is the cause and treatment of this old man's stomatitis?	0
72	1843	1843	1843	What would cause coccyx pain with no history of injury?  X-ray last time showed coccyx deviated to left.	Is there a better way to introduce the subject of sexually transmitted disease?	0
73	734	734	734	The patient has started Brewer's yeast and sweet potatoes for post menopausal symptoms of fatigue and droopiness.  She says she feels better.  Is this a legitimate treatment to relieve some menopausal symptoms?	On nonstress test after every acceleration brief sharp not deep deceleration. Important?	0
74	3178	3178	3178	What makes serum amylase and lipase high besides pancreatitis?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	0
75	1246	1246	1246	What is the best treatment for poison ivy?	What is the best treatment for poison ivy?	1
76	5649	5649	5649	I saw an 8-year-old boy who had intermittent asymptomatic swelling of one knee.  No trauma.  It would just swell up out of the blue and then go down.  The question is what would cause this.	What would cause this knee swelling?	1
77	1786	1786	1786	Is this a fracture or a growth plate at the base of the fifth metatarsal (looking at x-ray)?	Should I do an ultrasound to rule out an abdominal aortic aneurysm? Must be very rare in young female but should I?  Should you have pain when you push on the aorta?	0
