id,Anatomy,Cause,Complication,Diagnosis,Information,Management,Manifestation,OtherEffect,PersonOrg	,Prognosis,Susceptibility,Other,NotDisease
0,0.01861481,0.037139148,0.016635168,0.07862931,0.07228862,0.8770654,0.048031166,0.074492216,0.05188345,0.0968786,0.06396044,0.026115568,0.020032022
1,0.013871656,0.075493306,0.019766228,0.09467846,0.11374817,0.055134874,0.051788703,0.10139271,0.028686285,0.11019841,0.3068076,0.028788906,0.014003765
2,0.01595106,0.036175117,0.017700661,0.072424084,0.13678947,0.86866575,0.041586235,0.08888233,0.09136462,0.0706129,0.055267375,0.021046074,0.02148006
3,0.0124771325,0.030468188,0.014100145,0.06297613,0.17287062,0.660078,0.029504823,0.058812723,0.077219814,0.05318121,0.058309324,0.01910217,0.0149538135
4,0.016614309,0.11201268,0.02040938,0.080330886,0.20794393,0.10027116,0.12533024,0.1309399,0.04706499,0.29612413,0.11719597,0.04254944,0.017009435
5,0.023929765,0.05958849,0.026445178,0.071537405,0.5226105,0.40592337,0.08726866,0.10793775,0.19639204,0.047973365,0.073778525,0.03145475,0.03502168
6,0.010545124,0.03693726,0.017349565,0.038897634,0.30474877,0.12124374,0.022910101,0.060746603,0.04926633,0.2550116,0.09029159,0.033355977,0.014555674
7,0.04610447,0.27441657,0.032441486,0.08265894,0.2590086,0.9194958,0.122426,0.10624194,0.08710673,0.06243539,0.062185094,0.04803553,0.04913918
8,0.013061425,0.042824827,0.017905418,0.21513845,0.15303105,0.043484714,0.052660543,0.07440876,0.062800474,0.06681741,0.18416995,0.029452225,0.010921848
9,0.011484057,0.035099488,0.032398053,0.04288706,0.25509292,0.17363375,0.052875444,0.08884824,0.1207994,0.53020823,0.057679676,0.031939477,0.017229805
10,0.017792236,0.04265466,0.027092308,0.10731305,0.515635,0.48629838,0.0496331,0.070688024,0.3426424,0.036723103,0.044037677,0.026714893,0.028938634
11,0.015668774,0.034180842,0.024347538,0.13819894,0.21824254,0.6577984,0.058615435,0.07283723,0.15781668,0.0573064,0.04808375,0.022966037,0.022167845
12,0.011294983,0.03301365,0.015920078,0.038984053,0.125397,0.38613445,0.039599925,0.08527135,0.048152145,0.40931147,0.0502449,0.024431864,0.010605296
13,0.016480815,0.0406041,0.020718666,0.0984021,0.2670086,0.28137335,0.053872183,0.075805835,0.09671673,0.06854466,0.05378501,0.024693303,0.018070266
14,0.018259,0.055442814,0.028498529,0.06094725,0.8265938,0.087750755,0.06004277,0.061832584,0.1984114,0.046566125,0.04482497,0.031218538,0.02375493
15,0.021751434,0.052585978,0.026235813,0.38077876,0.12074237,0.055342562,0.10278398,0.0977878,0.10296969,0.048203915,0.15675426,0.03651007,0.015469304
16,0.017150374,0.03862867,0.018974682,0.11798416,0.08145322,0.827958,0.04157261,0.111351706,0.101492465,0.10793452,0.09656277,0.027106242,0.024637224
17,0.014443855,0.038470794,0.015991474,0.09320315,0.20174034,0.603027,0.040895026,0.05458703,0.08651102,0.037911475,0.038970374,0.024507364,0.015975747
18,0.009162819,0.028065596,0.01824886,0.110819146,0.14227605,0.09693557,0.045088418,0.07002866,0.08438208,0.11640027,0.103744835,0.02272195,0.011380235
19,0.01808676,0.06967212,0.030034032,0.099374175,0.77841043,0.023046618,0.053993143,0.078221396,0.19396468,0.08365524,0.11761771,0.04091571,0.028992288
20,0.014656469,0.028292783,0.017695416,0.08645061,0.0850676,0.72148126,0.054115523,0.08189926,0.06823183,0.079381675,0.06641309,0.024444407,0.0188588
21,0.015119306,0.060307115,0.022624075,0.10548857,0.55283105,0.07080259,0.067538984,0.09813149,0.15576375,0.06206028,0.066656336,0.023352379,0.014989094
22,0.016593605,0.04279238,0.024659727,0.23499766,0.30057177,0.09480443,0.06283867,0.07947559,0.21269014,0.049938407,0.06595227,0.028168721,0.015622795
23,0.017923167,0.04046495,0.015279032,0.07369771,0.09533129,0.85959,0.04192918,0.08671917,0.059466224,0.17472202,0.058014013,0.027069107,0.0166963
24,0.0135006895,0.060989175,0.01882872,0.061348647,0.24276622,0.05512422,0.071335755,0.12418983,0.037006244,0.29123443,0.13001457,0.04163619,0.01425295
25,0.02136597,0.053717718,0.019599658,0.052338447,0.11426895,0.94063973,0.06328155,0.12394886,0.052440546,0.1371879,0.061999384,0.025226813,0.022737727
26,0.016299855,0.036078047,0.014964612,0.05972218,0.15183538,0.8804304,0.036896016,0.061809767,0.06410194,0.0744048,0.043360874,0.021807868,0.016537946
27,0.010658251,0.029462947,0.014977156,0.029722685,0.13866155,0.5806147,0.030033711,0.06712309,0.055570018,0.33842248,0.05082768,0.022668004,0.011630707
28,0.01947043,0.048575364,0.014989179,0.060243573,0.15010735,0.9046112,0.045257747,0.057708208,0.057526145,0.058485135,0.05550586,0.024014998,0.018993208
29,0.018726656,0.14339562,0.028747724,0.054233015,0.10672254,0.08352071,0.096890494,0.11669578,0.031561036,0.10992958,0.16362792,0.03020137,0.016461048
30,0.012575472,0.03337293,0.020145603,0.21873963,0.10302775,0.07435344,0.0656646,0.0916478,0.060890313,0.10010029,0.19276851,0.03157797,0.011370491
31,0.021038396,0.0859751,0.038448174,0.060437646,0.09436655,0.07349846,0.12542292,0.21876076,0.029519843,0.38835144,0.25822353,0.03919983,0.021270942
32,0.012113715,0.028644277,0.016531091,0.037959967,0.36399984,0.5290684,0.029822916,0.050744593,0.1440756,0.060666766,0.029531706,0.018005302,0.015749265
33,0.013093053,0.05719652,0.020426303,0.07910445,0.2005975,0.15469198,0.061031252,0.16097836,0.070945114,0.17718662,0.064942695,0.030987998,0.01594274
34,0.011475118,0.040578954,0.021510761,0.0511843,0.6655102,0.10222823,0.030761544,0.052249875,0.12749046,0.08530461,0.06400541,0.02745584,0.017315391
35,0.014168442,0.043206785,0.023075597,0.040863167,0.1400511,0.25437242,0.076996356,0.113742754,0.047872942,0.13772956,0.07366506,0.029986244,0.020310339
36,0.015133889,0.045441534,0.02143754,0.18633251,0.18656404,0.40629238,0.08421793,0.11373034,0.11048875,0.2511542,0.10045175,0.033245355,0.021652695
37,0.020041045,0.050837148,0.016014783,0.05374849,0.13868387,0.9332936,0.04796372,0.07087837,0.060525697,0.09096522,0.056405954,0.025463883,0.020818457
38,0.009610487,0.026680924,0.02401424,0.04643571,0.29077545,0.23599951,0.03330391,0.06092623,0.21936777,0.15664342,0.052001704,0.021868026,0.013395483
39,0.015066838,0.10599637,0.028154096,0.104970254,0.30461884,0.022307184,0.05431515,0.11165053,0.06979782,0.06433799,0.26185647,0.032204546,0.019753631
40,0.015110512,0.039138973,0.018815551,0.24541949,0.12368903,0.13968992,0.09168091,0.066030264,0.07164849,0.07403485,0.098319545,0.029400568,0.0121239945
41,0.026687117,0.06196724,0.02541358,0.2566615,0.17037134,0.095637955,0.12634552,0.07952165,0.09768854,0.045459412,0.07728339,0.03864355,0.018556802
42,0.024224864,0.05436115,0.023395896,0.15148446,0.08828382,0.88257957,0.056225747,0.10713236,0.091686375,0.06095962,0.078253835,0.0320751,0.032607783
43,0.016298724,0.06113991,0.01970657,0.054588865,0.76467276,0.04404437,0.0332648,0.05017793,0.095242634,0.05193515,0.058131937,0.027544545,0.01488547
44,0.018538889,0.049224555,0.02240891,0.08164373,0.11733054,0.61913013,0.13869712,0.101922445,0.050205953,0.381635,0.088510066,0.033294808,0.02075364
45,0.020813413,0.07355995,0.027876634,0.0703819,0.85433066,0.08244985,0.050839595,0.081998326,0.14967817,0.063461855,0.053038027,0.03449811,0.028281251
46,0.014421437,0.034560878,0.023909487,0.22835569,0.16409786,0.10493371,0.07096344,0.105317846,0.1674328,0.1049699,0.1048655,0.036500785,0.01913827
47,0.023139551,0.048278753,0.02000539,0.08105931,0.10987273,0.92594695,0.04600715,0.07581178,0.0637165,0.06388981,0.07487093,0.03017434,0.027989987
48,0.017837124,0.042301983,0.020547096,0.18069625,0.1468819,0.11934512,0.091914095,0.063152276,0.061847113,0.047384184,0.12434122,0.026573205,0.01326079
49,0.020219779,0.046507914,0.027910184,0.35183933,0.13058488,0.23829366,0.08752979,0.08156229,0.16958937,0.056699473,0.0986615,0.033821058,0.022635706
50,0.012635813,0.042884793,0.022750303,0.047137715,0.71126753,0.07440906,0.035266317,0.062011793,0.13865873,0.073784076,0.057644825,0.022336222,0.014767332
51,0.024444407,0.0662766,0.02642123,0.55027926,0.09547827,0.22792162,0.10432617,0.08868125,0.081242405,0.06899121,0.12982312,0.044676695,0.018071007
52,0.0151181705,0.03631448,0.013416598,0.05320587,0.14098173,0.8731984,0.03126166,0.053672157,0.05300021,0.07287833,0.052354377,0.021136377,0.01507473
53,0.012039739,0.033507865,0.017458633,0.059637167,0.17145851,0.15390594,0.0292238,0.09381499,0.0671869,0.12649846,0.10838741,0.026512684,0.016737757
54,0.030899486,0.07316302,0.031289235,0.529049,0.31113777,0.08735188,0.07374107,0.07412663,0.15598927,0.027689258,0.13261537,0.04620375,0.023423772
55,0.013481308,0.03444235,0.01588772,0.039342575,0.13200666,0.8564307,0.047015026,0.07243033,0.06591215,0.194042,0.039954834,0.021388859,0.013905006
56,0.008946334,0.030749423,0.018400298,0.1247784,0.1399678,0.281379,0.045451008,0.062202137,0.11865269,0.19587217,0.08446265,0.023771646,0.013467237
57,0.011006172,0.030517012,0.020072538,0.03158726,0.17938413,0.56712514,0.033832148,0.059978772,0.06834473,0.32234403,0.05859672,0.023642223,0.012811677
58,0.01324984,0.02662627,0.018739615,0.031167977,0.3638311,0.6037515,0.026460264,0.054180976,0.121724844,0.14358196,0.04058016,0.020821553,0.01842991
59,0.018177804,0.03906514,0.017533042,0.31231657,0.09003933,0.6439255,0.064389676,0.08265767,0.08900102,0.07551618,0.08093267,0.03349483,0.017726399
60,0.019479016,0.046688832,0.022464633,0.09305519,0.27887926,0.7170739,0.03675508,0.09060272,0.17551021,0.09795883,0.057394627,0.035002947,0.027690444
61,0.014829726,0.03761761,0.013268985,0.055134833,0.14264672,0.8553917,0.030489858,0.05108344,0.052162234,0.06551735,0.05065652,0.021712162,0.015173523
62,0.019464068,0.039725453,0.019774754,0.07046966,0.19853303,0.8572216,0.040301837,0.06826787,0.1034512,0.04603597,0.04580888,0.02446613,0.025648944
63,0.013578758,0.032628268,0.01555599,0.05328889,0.07935533,0.7942316,0.03330067,0.07830124,0.066118896,0.23479612,0.064816736,0.021830175,0.014923332
64,0.016555762,0.043102395,0.01831225,0.04533941,0.107879125,0.7686566,0.06689574,0.115702234,0.040424798,0.2257483,0.10196453,0.028497117,0.020363836
65,0.010896165,0.026752623,0.019961659,0.082700126,0.3356663,0.07988578,0.031529047,0.06565903,0.15095897,0.060616363,0.07889258,0.022966722,0.012693167
66,0.008069312,0.031627048,0.024635168,0.05400419,0.2691274,0.061263435,0.046305746,0.08672808,0.07382888,0.36701185,0.08698679,0.02548395,0.012747925
67,0.033726927,0.15380867,0.03914049,0.1108163,0.3934203,0.35940772,0.19702195,0.20869121,0.05699497,0.35807613,0.24578084,0.058896586,0.04346095
68,0.029560661,0.091798574,0.046686616,0.2313618,0.43344042,0.8185503,0.15847817,0.24097162,0.34604874,0.21231791,0.115220256,0.058228582,0.051375747
69,0.013209042,0.031203365,0.013940169,0.06373858,0.099323,0.6834915,0.026201019,0.07591849,0.060906645,0.0881492,0.07472941,0.019789802,0.016354036
70,0.02123936,0.056698326,0.022382276,0.14041992,0.06182974,0.7185205,0.07356449,0.1367621,0.056434937,0.05973055,0.16006391,0.027008098,0.029206084
71,0.017647257,0.047366504,0.025702434,0.37124357,0.10970723,0.4213708,0.059720997,0.09809073,0.12114367,0.044027,0.18099086,0.027412914,0.016997097
72,0.03246155,0.3008585,0.037347145,0.067276835,0.11826459,0.11718722,0.13827898,0.15746516,0.038966242,0.09303886,0.12292854,0.03869503,0.023757871
73,0.014757178,0.03349414,0.013558246,0.05339441,0.09419648,0.8783216,0.04500594,0.07510514,0.04682779,0.09974415,0.058976024,0.022608079,0.016200304
74,0.014741669,0.05271216,0.018199582,0.17044576,0.16413835,0.06456786,0.08043997,0.07489833,0.058104623,0.12936571,0.111720964,0.03477419,0.011533356
75,0.020237925,0.042128984,0.017594907,0.05704202,0.12193298,0.886254,0.04596319,0.057912998,0.053209737,0.069181554,0.048908662,0.028038716,0.020619594
76,0.050274163,0.5268539,0.051972013,0.063539706,0.18249021,0.252015,0.14591092,0.14712769,0.05464409,0.086750105,0.109841965,0.054744024,0.045458056
77,0.009395546,0.037679818,0.015586312,0.068020195,0.12822965,0.116038434,0.046777084,0.08085486,0.049112312,0.10681716,0.09282164,0.02248039,0.010485993
78,0.017332325,0.06184409,0.02626731,0.09578053,0.39310318,0.62054217,0.09514789,0.10474681,0.16772121,0.2508618,0.045095105,0.04138486,0.027695991
79,0.014757899,0.04055343,0.022003196,0.09584207,0.13681811,0.8259696,0.0604768,0.081894405,0.103189066,0.23648404,0.06665205,0.027274454,0.020805739
80,0.012561991,0.048617966,0.016530985,0.06339199,0.17327735,0.8185555,0.06828232,0.0785329,0.07022403,0.18952492,0.055429514,0.025124602,0.017643364
81,0.04419907,0.55951095,0.050556485,0.089021035,0.24813862,0.12975591,0.1259175,0.13945219,0.06584253,0.06772742,0.14237796,0.05503142,0.037663806
82,0.010440849,0.04698936,0.01846854,0.06450335,0.37965214,0.06807005,0.046665326,0.08375158,0.052353457,0.31134865,0.11393634,0.03311262,0.012562736
83,0.009628249,0.037922677,0.015029135,0.03609476,0.31940398,0.1726274,0.023011692,0.058194745,0.05798278,0.17965706,0.09539212,0.026519308,0.0109772375
84,0.010804333,0.04401796,0.026893156,0.075798936,0.12282754,0.07379275,0.094297916,0.16029492,0.06422748,0.374675,0.11175144,0.030911166,0.013600247
85,0.011757996,0.047934726,0.02067782,0.055869166,0.58295065,0.05922211,0.046419557,0.088071175,0.103882015,0.09650932,0.043292314,0.031175056,0.016364472
