id,Anatomy,Cause,Complication,Diagnosis,Information,Management,Manifestation,OtherEffect,PersonOrg	,Prognosis,Susceptibility,Other,NotDisease
0,0.00965298,0.033101153,0.015372694,0.060012892,0.34853265,0.28357828,0.027575627,0.07948097,0.17484856,0.08441138,0.047666986,0.021280417,0.0149249295
1,0.030661687,0.10633551,0.055180766,0.19045039,0.3372121,0.5163344,0.21551354,0.27705914,0.117971554,0.6764006,0.15849139,0.06288457,0.03372096
2,0.014609957,0.04113896,0.012387091,0.04108314,0.20261888,0.8215188,0.032605473,0.046156544,0.05405883,0.065066606,0.0468574,0.02193215,0.015378224
3,0.026425986,0.11404988,0.024924604,0.15221289,0.04934815,0.7719228,0.07324683,0.21077083,0.04621733,0.10522557,0.27760556,0.029497912,0.027837433
4,0.0120523255,0.038226694,0.021694262,0.048884507,0.07072357,0.3047147,0.05738439,0.13638325,0.045209587,0.5289594,0.103068195,0.028272478,0.0131145995
5,0.016692474,0.035375107,0.033849828,0.0434782,0.63531077,0.7938315,0.043412626,0.05321508,0.26217425,0.097362526,0.029582568,0.031874023,0.024408467
6,0.019327467,0.044095233,0.0155078415,0.053547077,0.23678054,0.86883813,0.034236655,0.049477458,0.07732252,0.045061637,0.046133976,0.025320893,0.020580543
7,0.020587368,0.052286215,0.024069807,0.040417105,0.89048344,0.05897918,0.031406276,0.044367883,0.10797904,0.043082997,0.06842104,0.029842285,0.021801846
8,0.019327467,0.044095233,0.0155078415,0.053547077,0.23678054,0.86883813,0.034236655,0.049477458,0.07732252,0.045061637,0.046133976,0.025320893,0.020580543
9,0.020587368,0.052286215,0.024069807,0.040417105,0.89048344,0.05897918,0.031406276,0.044367883,0.10797904,0.043082997,0.06842104,0.029842285,0.021801846
10,0.019327467,0.044095233,0.0155078415,0.053547077,0.23678054,0.86883813,0.034236655,0.049477458,0.07732252,0.045061637,0.046133976,0.025320893,0.020580543
11,0.020587368,0.052286215,0.024069807,0.040417105,0.89048344,0.05897918,0.031406276,0.044367883,0.10797904,0.043082997,0.06842104,0.029842285,0.021801846
12,0.019327467,0.044095233,0.0155078415,0.053547077,0.23678054,0.86883813,0.034236655,0.049477458,0.07732252,0.045061637,0.046133976,0.025320893,0.020580543
13,0.020587368,0.052286215,0.024069807,0.040417105,0.89048344,0.05897918,0.031406276,0.044367883,0.10797904,0.043082997,0.06842104,0.029842285,0.021801846
14,0.019327467,0.044095233,0.0155078415,0.053547077,0.23678054,0.86883813,0.034236655,0.049477458,0.07732252,0.045061637,0.046133976,0.025320893,0.020580543
15,0.020587368,0.052286215,0.024069807,0.040417105,0.89048344,0.05897918,0.031406276,0.044367883,0.10797904,0.043082997,0.06842104,0.029842285,0.021801846
16,0.019327467,0.044095233,0.0155078415,0.053547077,0.23678054,0.86883813,0.034236655,0.049477458,0.07732252,0.045061637,0.046133976,0.025320893,0.020580543
17,0.020587368,0.052286215,0.024069807,0.040417105,0.89048344,0.05897918,0.031406276,0.044367883,0.10797904,0.043082997,0.06842104,0.029842285,0.021801846
18,0.019327467,0.044095233,0.0155078415,0.053547077,0.23678054,0.86883813,0.034236655,0.049477458,0.07732252,0.045061637,0.046133976,0.025320893,0.020580543
19,0.020587368,0.052286215,0.024069807,0.040417105,0.89048344,0.05897918,0.031406276,0.044367883,0.10797904,0.043082997,0.06842104,0.029842285,0.021801846
20,0.019327467,0.044095233,0.0155078415,0.053547077,0.23678054,0.86883813,0.034236655,0.049477458,0.07732252,0.045061637,0.046133976,0.025320893,0.020580543
21,0.020587368,0.052286215,0.024069807,0.040417105,0.89048344,0.05897918,0.031406276,0.044367883,0.10797904,0.043082997,0.06842104,0.029842285,0.021801846
22,0.015450507,0.037337627,0.014564522,0.029031066,0.44245076,0.8556492,0.034964718,0.042322516,0.08294624,0.08298035,0.030661264,0.0206338,0.015761666
23,0.024412826,0.09200133,0.02778359,0.24793714,0.39519274,0.048442263,0.06000233,0.124830805,0.13269222,0.030499827,0.12992397,0.03337374,0.018684514
24,0.015450507,0.037337627,0.014564522,0.029031066,0.44245076,0.8556492,0.034964718,0.042322516,0.08294624,0.08298035,0.030661264,0.0206338,0.015761666
25,0.024412826,0.09200133,0.02778359,0.24793714,0.39519274,0.048442263,0.06000233,0.124830805,0.13269222,0.030499827,0.12992397,0.03337374,0.018684514
26,0.015450507,0.037337627,0.014564522,0.029031066,0.44245076,0.8556492,0.034964718,0.042322516,0.08294624,0.08298035,0.030661264,0.0206338,0.015761666
27,0.024412826,0.09200133,0.02778359,0.24793714,0.39519274,0.048442263,0.06000233,0.124830805,0.13269222,0.030499827,0.12992397,0.03337374,0.018684514
28,0.015450507,0.037337627,0.014564522,0.029031066,0.44245076,0.8556492,0.034964718,0.042322516,0.08294624,0.08298035,0.030661264,0.0206338,0.015761666
29,0.024412826,0.09200133,0.02778359,0.24793714,0.39519274,0.048442263,0.06000233,0.124830805,0.13269222,0.030499827,0.12992397,0.03337374,0.018684514
